ff861b2280509a{"ppm": 434, "dt": "2020-11-25T19:09:14.171264"}
ff861ac28050a0{"ppm": 428, "dt": "2020-11-25T19:09:46.210406"}
ff861ae280609d{"ppm": 430, "dt": "2020-11-25T19:10:18.271244"}
ff861ab28060a0{"ppm": 427, "dt": "2020-11-25T19:10:50.331939"}
ff861ab28060a0{"ppm": 427, "dt": "2020-11-25T19:11:22.391906"}
ff861ab28060a0{"ppm": 427, "dt": "2020-11-25T19:11:54.452451"}
ff861ac280609f{"ppm": 428, "dt": "2020-11-25T19:12:26.512793"}
ff861ad280609e{"ppm": 429, "dt": "2020-11-25T19:12:58.550960"}
ff861b1280609a{"ppm": 433, "dt": "2020-11-25T19:13:30.610450"}
ff861af280609c{"ppm": 431, "dt": "2020-11-25T19:14:02.670927"}
ff861aa28060a1{"ppm": 426, "dt": "2020-11-25T19:14:34.733133"}
ff861ac280609f{"ppm": 428, "dt": "2020-11-25T19:15:06.792863"}
ff861a828060a3{"ppm": 424, "dt": "2020-11-25T19:15:38.853285"}
ff861a528060a6{"ppm": 421, "dt": "2020-11-25T19:16:10.913841"}
ff861ab28060a0{"ppm": 427, "dt": "2020-11-25T19:16:42.973809"}
ff861a928060a2{"ppm": 425, "dt": "2020-11-25T19:17:15.033973"}
ff861ac280609f{"ppm": 428, "dt": "2020-11-25T19:17:47.094263"}
ff861aa28060a1{"ppm": 426, "dt": "2020-11-25T19:18:19.129313"}
ff861ae280609d{"ppm": 430, "dt": "2020-11-25T19:18:51.189639"}
ff861b72806094{"ppm": 439, "dt": "2020-11-25T19:19:23.250496"}
ff861ad280609e{"ppm": 429, "dt": "2020-11-25T19:19:55.310809"}
ff861b22807098{"ppm": 434, "dt": "2020-11-25T19:20:27.371401"}
ff861af280709b{"ppm": 431, "dt": "2020-11-25T19:20:59.429803"}
ff861b32807097{"ppm": 435, "dt": "2020-11-25T19:21:31.490240"}
ff861b82807092{"ppm": 440, "dt": "2020-11-25T19:22:03.550586"}
ff861b42807096{"ppm": 436, "dt": "2020-11-25T19:22:35.611288"}
ff861b22807098{"ppm": 434, "dt": "2020-11-25T19:23:07.671345"}
ff861af280709b{"ppm": 431, "dt": "2020-11-25T19:23:39.731430"}
ff861b0280709a{"ppm": 432, "dt": "2020-11-25T19:24:11.792167"}
ff861b12807099{"ppm": 433, "dt": "2020-11-25T19:24:43.852511"}
ff861b32807097{"ppm": 435, "dt": "2020-11-25T19:25:15.913113"}
ff861ae280709c{"ppm": 430, "dt": "2020-11-25T19:25:47.973691"}
ff861ad280709d{"ppm": 429, "dt": "2020-11-25T19:26:20.034322"}
ff861b0280709a{"ppm": 432, "dt": "2020-11-25T19:26:52.066921"}
ff861ae280709c{"ppm": 430, "dt": "2020-11-25T19:27:24.127844"}
ff861ad280709d{"ppm": 429, "dt": "2020-11-25T19:27:56.188574"}
ff861af280709b{"ppm": 431, "dt": "2020-11-25T19:28:28.249225"}
ff861ae280709c{"ppm": 430, "dt": "2020-11-25T19:29:00.309981"}
ff861ad280709d{"ppm": 429, "dt": "2020-11-25T19:29:32.370731"}
ff861af280709b{"ppm": 431, "dt": "2020-11-25T19:30:04.432834"}
ff861b22808097{"ppm": 434, "dt": "2020-11-25T19:30:36.492891"}
ff861b22808097{"ppm": 434, "dt": "2020-11-25T19:31:08.552865"}
ff861ab280809e{"ppm": 427, "dt": "2020-11-25T19:31:40.613158"}
ff861a728080a2{"ppm": 423, "dt": "2020-11-25T19:32:12.673496"}
ff861aa280809f{"ppm": 426, "dt": "2020-11-25T19:32:44.733615"}
ff861ab280809e{"ppm": 427, "dt": "2020-11-25T19:33:16.794452"}
ff861aa280809f{"ppm": 426, "dt": "2020-11-25T19:33:48.854672"}
ff861ab280809e{"ppm": 427, "dt": "2020-11-25T19:34:20.915000"}
ff861ab280809e{"ppm": 427, "dt": "2020-11-25T19:34:52.975793"}
ff861a728080a2{"ppm": 423, "dt": "2020-11-25T19:35:25.036220"}
ff861a328080a6{"ppm": 419, "dt": "2020-11-25T19:35:57.096211"}
ff861a628080a3{"ppm": 422, "dt": "2020-11-25T19:36:29.156655"}
ff861a728080a2{"ppm": 423, "dt": "2020-11-25T19:37:01.217049"}
ff861a828080a1{"ppm": 424, "dt": "2020-11-25T19:37:33.277255"}
ff861a528080a4{"ppm": 421, "dt": "2020-11-25T19:38:05.337937"}
ff861a528080a4{"ppm": 421, "dt": "2020-11-25T19:38:37.398808"}
ff861a428080a5{"ppm": 420, "dt": "2020-11-25T19:39:09.459704"}
ff861a728080a2{"ppm": 423, "dt": "2020-11-25T19:39:41.519926"}
ff861a728080a2{"ppm": 423, "dt": "2020-11-25T19:40:13.580666"}
ff861a628090a2{"ppm": 422, "dt": "2020-11-25T19:40:45.641264"}
ff861ab280909d{"ppm": 427, "dt": "2020-11-25T19:41:17.683035"}
ff861a9280909f{"ppm": 425, "dt": "2020-11-25T19:41:49.743500"}
ff861ac280909c{"ppm": 428, "dt": "2020-11-25T19:42:21.803627"}
ff861a828090a0{"ppm": 424, "dt": "2020-11-25T19:42:53.863918"}
ff861ab280909d{"ppm": 427, "dt": "2020-11-25T19:43:25.924059"}
ff861a9280909f{"ppm": 425, "dt": "2020-11-25T19:43:57.984143"}
ff861ae280909a{"ppm": 430, "dt": "2020-11-25T19:44:30.044710"}
ff861aa280909e{"ppm": 426, "dt": "2020-11-25T19:45:02.105448"}
ff861a9280909f{"ppm": 425, "dt": "2020-11-25T19:45:34.167546"}
ff861a728090a1{"ppm": 423, "dt": "2020-11-25T19:46:06.228445"}
ff861ac280909c{"ppm": 428, "dt": "2020-11-25T19:46:38.288944"}
ff861ad280909b{"ppm": 429, "dt": "2020-11-25T19:47:10.348973"}
ff861ad280909b{"ppm": 429, "dt": "2020-11-25T19:47:42.409267"}
ff861a828090a0{"ppm": 424, "dt": "2020-11-25T19:48:14.469877"}
ff861a9280909f{"ppm": 425, "dt": "2020-11-25T19:48:46.530552"}
